type,side,price,size,ts_ns
update,b,65855.94,0.19350468,1784618835050149900
update,a,65872.61,0.09103615,1784618835050149900
update,a,65872.50,0.00796994,1784618835050149900
update,b,65836.46,0.00000000,1784618835100241200
update,b,65836.45,0.00000000,1784618835100241200
update,b,65836.47,0.91308994,1784618835100241200
update,b,57630.68,0.00000000,1784618835100241200
update,b,65834.41,0.00000000,1784618835100241200
update,a,65923.61,0.32556651,1784618835100241200
update,a,65883.31,0.21571454,1784618835100241200
update,a,65923.62,0.00000000,1784618835100241200
update,a,65923.63,0.00000000,1784618835100241200
update,b,65857.04,0.00759220,1784618835158195000
update,b,65858.69,0.00000000,1784618835158195000
update,a,65872.58,0.00000000,1784618835158195000
update,a,65871.26,0.00000000,1784618835158195000
update,a,65870.91,0.00000000,1784618835158195000
update,a,65869.92,0.00000000,1784618835158195000
update,a,65870.96,0.00000000,1784618835158195000
update,a,66893.60,0.00000000,1784618835219124700
update,b,65863.63,0.00961684,1784618835267467900
update,b,65857.04,0.01518440,1784618835267467900
update,b,57630.68,0.01246252,1784618835267467900
update,a,65872.47,0.00759042,1784618835267467900
update,a,65871.15,0.00009488,1784618835267467900
update,a,65871.14,0.00758612,1784618835267467900
update,b,57630.68,0.00000000,1784618835387586700
update,b,65847.32,0.00000000,1784618835387586700
update,b,65849.23,0.16524078,1784618835387586700
update,b,57630.68,0.01246252,1784618835567517700
update,b,65858.69,0.00759201,1784618835567517700
update,a,65870.80,0.00759062,1784618835567517700
update,a,65869.81,0.00009488,1784618835567517700
update,b,65847.32,0.56402500,1784618835631632000
update,b,65849.23,0.55877105,1784618835631632000
update,a,66883.73,0.00007476,1784618835631632000
update,b,65858.69,0.01518402,1784618835689156400
update,b,65847.32,0.00000000,1784618835689156400
update,b,65849.23,0.16524078,1784618835689156400
update,b,57630.68,0.00000000,1784618835689156400
update,a,65870.86,0.00797014,1784618835689156400
update,b,65863.63,0.00961668,1784618835749241500
update,b,57630.68,0.01246252,1784618835868154000
update,b,65847.31,0.62286200,1784618835868154000
update,b,65849.23,0.59389674,1784618835868154000
update,b,65863.63,0.04697954,1784618835979421800
update,b,65862.00,0.01070000,1784618835979421800
update,b,65800.26,0.00000000,1784618835979421800
update,b,65806.13,0.00000000,1784618835979421800
update,b,65806.14,0.00000000,1784618835979421800
update,b,57630.68,0.00000000,1784618835979421800
update,b,65801.41,1.36206074,1784618835979421800
